dataset,split,id,hard_label,soft_label_0,soft_label_1,annotator,annotator_label,num_annotations
ArMIS,train,1,0,1.0,0.0,Ann1,0,3
ArMIS,train,1,0,1.0,0.0,Ann2,0,3
ArMIS,train,1,0,1.0,0.0,Ann3,0,3
ArMIS,train,2,1,0.33,0.67,Ann1,1,3
ArMIS,train,2,1,0.33,0.67,Ann2,0,3
ArMIS,train,2,1,0.33,0.67,Ann3,1,3
ArMIS,train,3,1,0.0,1.0,Ann1,1,3
ArMIS,train,3,1,0.0,1.0,Ann2,1,3
ArMIS,train,3,1,0.0,1.0,Ann3,1,3
ArMIS,train,4,0,1.0,0.0,Ann1,0,3
ArMIS,train,4,0,1.0,0.0,Ann2,0,3
ArMIS,train,4,0,1.0,0.0,Ann3,0,3
ArMIS,train,5,0,0.67,0.33,Ann1,0,3
ArMIS,train,5,0,0.67,0.33,Ann2,0,3
ArMIS,train,5,0,0.67,0.33,Ann3,1,3
ArMIS,train,6,0,0.67,0.33,Ann1,0,3
ArMIS,train,6,0,0.67,0.33,Ann2,0,3
ArMIS,train,6,0,0.67,0.33,Ann3,1,3
ArMIS,train,7,1,0.33,0.67,Ann1,1,3
ArMIS,train,7,1,0.33,0.67,Ann2,0,3
ArMIS,train,7,1,0.33,0.67,Ann3,1,3
ArMIS,train,8,1,0.0,1.0,Ann1,1,3
ArMIS,train,8,1,0.0,1.0,Ann2,1,3
ArMIS,train,8,1,0.0,1.0,Ann3,1,3
ArMIS,train,9,1,0.0,1.0,Ann1,1,3
ArMIS,train,9,1,0.0,1.0,Ann2,1,3
ArMIS,train,9,1,0.0,1.0,Ann3,1,3
ArMIS,train,10,1,0.0,1.0,Ann1,1,3
ArMIS,train,10,1,0.0,1.0,Ann2,1,3
ArMIS,train,10,1,0.0,1.0,Ann3,1,3
ArMIS,train,11,0,1.0,0.0,Ann1,0,3
ArMIS,train,11,0,1.0,0.0,Ann2,0,3
ArMIS,train,11,0,1.0,0.0,Ann3,0,3
ArMIS,train,12,1,0.0,1.0,Ann1,1,3
